ID_Venta,Fecha,Producto,Categoria_producto,Precio,Cantidad_vendida,Region,Descuento,Metodo_Pago
1,15/01/2024,"Televisor 42""",Electronica,-400,2,NaN,11.24,Efectivo
2,16/01/2024,Smartphone,Electronica,-700,5,Europa,28.52,Efectivo
3,17/01/2024,Refrigerador,NaN,-1200,1,Sudamerica,21.96,Cheque
4,18/01/2024,NaN,Electronica,950,3,Asias,17.96,Cheque
5,19/01/2024,Lavadora,NaN,10000,1,Norteamerica,4.68,Cheque
6,20/01/2024,"Televisor 55""",Electronica,650,4,Europa,4.68,Efectivo
7,21/01/2024,Aspiradora,Electrodomestico,5000,10,Sudamerica,1.74,Transferencia Bancaria
8,22/01/2024,Smartphone,Electronica,650,6,Norteamerica,25.99,PayPal
9,23/01/2024,NaN,Electronica,1000,2,Sudamerica,18.03,Transferencia Bancaria
10,24/01/2024,Microondass,NaN,2000,8,Europa,21.24,Transferencia Bancaria
11,25/01/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,0.62,Efectivo
12,26/01/2024,LAVADORA,Electrodomestico,,3,Asia,29.1,Transferencia Bancaria
13,27/01/2024,Smartphone,Electronica,750,7,Norteamerica,24.97,Tarjeta de Crédito
14,28/01/2024,LAPTOP,Electronica,850,1,NaN,6.37,Cheque
15,29/01/2024,Refrigerador,Electrodomestico,-1100,1,Sudamerica,5.45,Tarjeta de Crédito
16,30/01/2024,Microondas,Electrodomestico,100,9,Asia,5.5,PayPal
17,31/01/2024,"Televisor 32""",Electronica,3500,5,Norteamerica,9.13,Cheque
18,01/02/2024,Tablet,Electronica,,4,Europa,15.74,Transferencia Bancaria
19,02/02/2024,LavadoraS,Electrodomestico,750,2,Asia,12.96,PayPal
20,03/02/2024,Refrigerador,Electrodomestico,,1,Norteamerica,8.74,Cheque
21,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,18.36,Transferencia Bancaria
22,05/02/2024,Laptop,Electronica,1050,2,Europa,4.18,Tarjeta de Crédito
23,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,8.76,Cheque
24,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,10.99,Transferencia Bancaria
25,08/02/2024,Tablet,Electronica,420,5,Sudamerica,13.68,Tarjeta de Crédito
26,09/02/2024,Smartphone,Electronica,780,7,Europa,23.56,PayPal
27,10/02/2024,Microondas,Electrodomestico,,9,Asia,5.99,PayPal
28,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,15.43,Desconocido
29,12/02/2024,Refrigerador,Electrodomestico,-1250,1,Europa,17.77,PayPal
30,13/02/2024,Laptop,Electronica,970,4,Asia,1.39,Efectivo
31,14/02/2024,Smartphone,Electronica,690,8,Sudamerica,18.23,Cheque
32,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,5.12,Cheque
33,16/02/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,1.95,Efectivo
34,17/02/2024,Lavadora,Electrodomestico,,2,Asia,28.47,Transferencia Bancaria
35,18/02/2024,Microondas,Electrodomestico,,10,Sudamerica,28.97,Transferencia Bancaria
36,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,24.25,PayPal
37,05/02/2024,NaN,Electronica,1050,2,Europa,,Tarjeta de Crédito
38,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,2.93,Transferencia Bancaria
39,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,20.53,Tarjeta de Crédito
40,08/02/2024,Tablet,Electronica,420,5,Sudamerica,13.2,Cheque
41,09/02/2024,NaN,Electronica,780,7,Europa,3.66,Tarjeta de Crédito
42,10/02/2024,Microondas,Electrodomestico,,9,Asia,14.86,Cheque
43,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,1.03,Efectivo
44,09/02/2024,Smartphone,Electronica,780,7,Europa,27.28,Efectivo
45,10/02/2024,Microondas,NaN,,9,Asia,7.76,PayPal
46,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,19.88,Transferencia Bancaria
47,12/02/2024,Refrigerador,Electrodomestico,1250,1,Europa,9.35,PayPal
48,13/02/2024,Laptop,Electronica,970,4,Asia,15.6,Cheque
49,14/02/2024,Smartphone,Electronica,,8,Sudamerica,16.4,PayPal
50,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,5.55,Tarjeta de Crédito
51,16/02/2024,Aspiradora,Electrodomestico,-155,7,Norteamerica,29.09,Cheque
52,17/02/2024,Lavadora,Electrodomestico,810,2,Asia,23.25,Efectivo
53,15/03/2024,"Televisor 42""",NaN,-400,2,Norteamerica,28.18,Transferencia Bancaria
54,16/03/2024,Smartphone,Electronica,700,5,Europa,26.84,Cheque
55,17/03/2024,Refrigerador,Electrodomestico,12000,1,Sudamerica,17.94,Cheque
56,18/03/2024,Laptop,Electronica,950,3,NaN,27.66,Tarjeta de Crédito
57,19/03/2024,Lavadora,Electrodomestico,,1,NaN,2.65,Transferencia Bancaria
58,20/03/2024,"Televisor 55""",Electronica,650,4,Europa,5.88,Efectivo
59,21/03/2024,Aspiradora,Electrodomestico,150,10,Sudamerica,1.36,Cheque
60,22/03/2024,Smartphone,Electronica,650,6,Norteamerica,9.76,Cheque
61,23/03/2024,Laptop,Electronica,1000,2,Asia,11.66,Tarjeta de Crédito
