ID_Venta,Producto,Categoria,Precio,Cantidad,Region,Descuento,Almacen,Metodo_Pago,Dia,Mes,Agno
1,"Televisor 55""",Electronica,400,2,Asia,11.24,6,Efectivo,15,1,2024
2,Smartphone,Electronica,700,5,Europa,28.52,5,Efectivo,16,1,2024
3,Refrigerador,Electronica,650,1,Sudamerica,21.96,7,Cheque,17,1,2024
4,"Televisor 55""",Electronica,950,3,Asia,17.96,4,Cheque,18,1,2024
5,Lavadora,Electronica,650,1,Norteamerica,4.68,3,Cheque,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,4.68,7,Efectivo,20,1,2024
7,Aspiradora,Electrodomestico,650,10,Sudamerica,1.74,20,Transferencia Bancaria,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,25.99,4,PayPal,22,1,2024
9,"Televisor 55""",Electronica,1000,2,Sudamerica,18.03,3,Transferencia Bancaria,23,1,2024
10,Microondas,Electronica,650,8,Europa,21.24,6,Transferencia Bancaria,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,0.62,23,Efectivo,25,1,2024
12,Lavadora,Electrodomestico,543.11,3,Asia,29.1,70,Transferencia Bancaria,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,24.97,5,Tarjeta de Credito,27,1,2024
14,Laptop,Electronica,850,1,Asia,6.37,3,Cheque,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,5.45,4,Tarjeta de Credito,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,5.5,2,PayPal,30,1,2024
17,"Televisor 55""",Electronica,650,5,Norteamerica,9.13,5,Cheque,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,15.74,6,Transferencia Bancaria,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,12.96,5,PayPal,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,8.74,7,Cheque,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,18.36,4,Transferencia Bancaria,4,2,2024
22,Laptop,Electronica,1050,2,Europa,4.18,3,Tarjeta de Credito,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,8.76,7,Cheque,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,10.99,20,Transferencia Bancaria,7,2,2024
25,Tablet,Electronica,420,5,Sudamerica,13.68,4,Tarjeta de Credito,8,2,2024
26,Smartphone,Electronica,780,7,Europa,23.56,3,PayPal,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,5.99,6,PayPal,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,15.43,23,Desconocido,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,17.77,70,PayPal,12,2,2024
30,Laptop,Electronica,970,4,Asia,1.39,5,Efectivo,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,18.23,3,Cheque,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,5.12,4,Cheque,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,1.95,2,Efectivo,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,28.47,5,Transferencia Bancaria,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,28.97,6,Transferencia Bancaria,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,24.25,5,PayPal,4,2,2024
37,"Televisor 55""",Electronica,1050,2,Europa,14.93,7,Tarjeta de Credito,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,2.93,4,Transferencia Bancaria,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,20.53,3,Tarjeta de Credito,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,13.2,7,Cheque,8,2,2024
